Id,SUBURB,SPLIT_SUBURB,COLLECTION_WEEK,GREENWASTE_COLLECTION_WEEK,GARBAGE_COLLECTION_DAY,GARBAGE_COLLECTION_FREQUENCY,GARBAGE_PICKUP_DATE,RECYCLING_COLLECTION_DAY,RECYCLING_COLLECTION_FREQUENCY,RECYCLING_PICKUP_DATE,GREENWASTE_COLLECTION_DAY,GREENWASTE_COLLECTION_FREQUENCY,NEXT_GREENWASTE_DATE,GREENWASTE_TYPE
1,ACTON,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
2,AINSLIE,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
3,AMAROO,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
4,ARANDA,,B,Green,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,01/05/2025,Greenwaste
5,BANKS,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
6,BARTON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
7,BEARD,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
8,BELCONNEN,,A,Green and Yellow,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,01/05/2025,Monday,Weekly,05/05/2025,FOGO Pilot
9,BONNER,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
10,BONYTHON,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
11,BRADDON,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
12,BRUCE,,A,Green and Yellow,Thursday,Fortnightly,01/05/2025,Thursday,Fortnightly,01/05/2025,Friday,Weekly,02/05/2025,FOGO Pilot
13,CALWELL,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
14,CAMPBELL,,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Friday,Fortnightly,09/05/2025,Greenwaste
15,CASEY,,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
16,CHAPMAN,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
17,CHARNWOOD,Tuesday,A,Yellow,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
18,CHARNWOOD,Wednesday,A,Yellow,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
19,CHARNWOOD,Thursday,A,Yellow,Thursday,Weekly,01/05/2025,Thursday,Fortnightly,01/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
20,CHARNWOOD,Friday,A,Yellow,Friday,Weekly,02/05/2025,Friday,Fortnightly,02/05/2025,Wednesday,Fortnightly,07/05/2025,Greenwaste
21,CHIFLEY,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
22,CHISHOLM,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
23,CITY,,B,Green,Friday,Weekly,02/05/2025,Friday,Fortnightly,09/05/2025,Friday,Fortnightly,02/05/2025,Greenwaste
24,CONDER,,B,Green,Tuesday,Weekly,06/05/2025,Tuesday,Fortnightly,06/05/2025,Tuesday,Fortnightly,13/05/2025,Greenwaste
25,COOK,,B,Green and Yellow,Thursday,Fortnightly,08/05/2025,Thursday,Fortnightly,08/05/2025,Wednesday,Weekly,30/04/2025,FOGO Pilot
26,COOMBS,,B,Green,Monday,Weekly,05/05/2025,Monday,Fortnightly,05/05/2025,Monday,Fortnightly,12/05/2025,Greenwaste
27,CRACE,,B,Green,Wednesday,Weekly,30/04/2025,Wednesday,Fortnightly,07/05/2025,Wednesday,Fortnightly,30/04/2025,Greenwaste
28,CURTIN,,A,Yellow,Monday,Weekly,05/05/2025,Monday,Fortnightly,12/05/2025,Monday,Fortnightly,05/05/2025,Greenwaste
